minute,api_key,customer_id,request_count,distinct_ip_count,new_ip_count,total_tokens,error_rate,rate_limit_rate,estimated_cost,avg_latency_ms,new_ip_ratio,tokens_per_request,off_hours,ip_entropy
2026-06-01 00:45:00,key_c001_1,C001,1,1,1,563,0.0,0.0,0.0009,2416.0,100.0,563.0,1,-0.0
2026-06-01 01:06:00,key_c001_1,C001,1,1,1,306,0.0,0.0,0.0007,1675.0,100.0,306.0,1,-0.0
2026-06-01 02:48:00,key_c001_1,C001,1,1,0,309,0.0,0.0,0.0007,1964.0,0.0,309.0,1,-0.0
2026-06-01 04:03:00,key_c001_1,C001,1,1,1,732,0.0,0.0,0.0009,1374.0,100.0,732.0,1,-0.0
2026-06-01 04:48:00,key_c001_1,C001,1,1,0,278,0.0,0.0,0.0007,2291.0,0.0,278.0,1,-0.0
2026-06-01 05:21:00,key_c001_1,C001,2,2,1,959,0.0,0.0,0.0015,1954.5,50.0,479.5,1,1.0
2026-06-01 05:28:00,key_c001_1,C001,1,1,0,302,0.0,0.0,0.0005,1289.0,0.0,302.0,1,-0.0
2026-06-01 05:31:00,key_c001_1,C001,1,1,1,459,0.0,0.0,0.0007,1501.0,100.0,459.0,1,-0.0
2026-06-01 05:42:00,key_c001_1,C001,1,1,0,869,0.0,0.0,0.001,1274.0,0.0,869.0,1,-0.0
2026-06-01 07:05:00,key_c001_1,C001,1,1,0,568,0.0,0.0,0.0007,1373.0,0.0,568.0,0,-0.0
2026-06-01 07:36:00,key_c001_1,C001,1,1,0,487,0.0,0.0,0.0006,1252.0,0.0,487.0,0,-0.0
2026-06-01 07:41:00,key_c001_1,C001,1,1,0,391,0.0,0.0,0.0009,2015.0,0.0,391.0,0,-0.0
2026-06-01 08:15:00,key_c001_1,C001,1,1,0,383,0.0,0.0,0.0006,1730.0,0.0,383.0,0,-0.0
2026-06-01 08:29:00,key_c001_1,C001,1,1,0,657,0.0,0.0,0.0016,2041.0,0.0,657.0,0,-0.0
2026-06-01 08:39:00,key_c001_1,C001,1,1,0,461,0.0,0.0,0.0011,2124.0,0.0,461.0,0,-0.0
2026-06-01 08:45:00,key_c001_1,C001,1,1,0,539,0.0,0.0,0.0013,1757.0,0.0,539.0,0,-0.0
2026-06-01 09:10:00,key_c001_1,C001,1,1,0,1120,0.0,0.0,0.0027,3756.0,0.0,1120.0,0,-0.0
2026-06-01 09:24:00,key_c001_1,C001,1,1,0,635,0.0,0.0,0.0015,1944.0,0.0,635.0,0,-0.0
2026-06-01 09:25:00,key_c001_1,C001,1,1,0,718,0.0,0.0,0.0017,3436.0,0.0,718.0,0,-0.0
2026-06-01 09:39:00,key_c001_1,C001,1,1,0,1212,0.0,0.0,0.0015,4557.0,0.0,1212.0,0,-0.0
2026-06-01 09:45:00,key_c001_1,C001,1,1,0,413,0.0,0.0,0.0005,1575.0,0.0,413.0,0,-0.0
2026-06-01 09:49:00,key_c001_1,C001,1,1,0,541,100.0,100.0,0.0009,1766.0,0.0,541.0,0,-0.0
2026-06-01 10:00:00,key_c001_1,C001,1,1,0,458,0.0,0.0,0.0011,1798.0,0.0,458.0,0,-0.0
2026-06-01 10:13:00,key_c001_1,C001,1,1,0,488,0.0,0.0,0.0006,1028.0,0.0,488.0,0,-0.0
2026-06-01 10:18:00,key_c001_1,C001,1,1,0,622,0.0,0.0,0.0015,1905.0,0.0,622.0,0,-0.0
2026-06-01 10:19:00,key_c001_1,C001,1,1,0,339,0.0,0.0,0.0004,1553.0,0.0,339.0,0,-0.0
2026-06-01 10:20:00,key_c001_1,C001,1,1,0,506,0.0,0.0,0.0012,1961.0,0.0,506.0,0,-0.0
2026-06-01 10:22:00,key_c001_1,C001,2,1,0,1363,0.0,0.0,0.0019,1917.0,0.0,681.5,0,-0.0
2026-06-01 10:48:00,key_c001_1,C001,1,1,0,395,0.0,0.0,0.0005,1942.0,0.0,395.0,0,-0.0
2026-06-01 11:00:00,key_c001_1,C001,1,1,0,676,0.0,0.0,0.0011,2112.0,0.0,676.0,0,-0.0
2026-06-01 11:01:00,key_c001_1,C001,1,1,0,721,0.0,0.0,0.0012,2274.0,0.0,721.0,0,-0.0
2026-06-01 11:10:00,key_c001_1,C001,1,1,0,602,0.0,0.0,0.001,1431.0,0.0,602.0,0,-0.0
2026-06-01 11:12:00,key_c001_1,C001,1,1,0,251,0.0,0.0,0.0006,1499.0,0.0,251.0,0,-0.0
2026-06-01 11:17:00,key_c001_1,C001,1,1,0,454,0.0,0.0,0.0011,1767.0,0.0,454.0,0,-0.0
2026-06-01 11:19:00,key_c001_1,C001,1,1,0,227,0.0,0.0,0.0004,1368.0,0.0,227.0,0,-0.0
2026-06-01 11:31:00,key_c001_1,C001,1,1,0,710,0.0,0.0,0.0011,1061.0,0.0,710.0,0,-0.0
2026-06-01 11:40:00,key_c001_1,C001,1,1,0,585,0.0,0.0,0.0014,1763.0,0.0,585.0,0,-0.0
2026-06-01 11:46:00,key_c001_1,C001,1,1,0,348,0.0,0.0,0.0008,1472.0,0.0,348.0,0,-0.0
2026-06-01 11:48:00,key_c001_1,C001,1,1,0,691,0.0,0.0,0.0008,1802.0,0.0,691.0,0,-0.0
2026-06-01 12:00:00,key_c001_1,C001,1,1,0,567,0.0,0.0,0.0014,2242.0,0.0,567.0,0,-0.0
2026-06-01 12:14:00,key_c001_1,C001,1,1,0,337,0.0,0.0,0.0008,1985.0,0.0,337.0,0,-0.0
