hour,model_id,request_count,total_tokens,input_tokens,output_tokens,estimated_cost,success_rate,error_rate,rate_limit_rate,server_error_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,p95_first_token_latency_ms,queue_p95_ms,active_customers,active_keys,distinct_ips,safety_hit_rate,retry_rate,cache_hit_rate,fallback_rate,reasoning_tokens,tokens_per_request,output_input_ratio,cost_per_request,cost_per_success,reasoning_token_share
2026-06-01 00:00:00,deepseek-chat,8,5604,3947,1657,0.0067,75.0,25.0,0.0,12.5,1795.5,2551.95,2558.39,400.8,101.65,5,8,7,0.0,12.5,0.0,0.0,276,700.5,0.4198,0.0008,0.0011,16.6566
2026-06-01 00:00:00,gpt-4.1-mini,7,4290,2772,1518,0.0103,85.7143,14.2857,0.0,0.0,2098.0,3616.5,3987.3,584.4,116.6,4,5,6,0.0,0.0,28.5714,0.0,257,612.8571,0.5476,0.0015,0.0017,16.9302
2026-06-01 00:00:00,qwen-plus,9,6746,5364,1382,0.0108,100.0,0.0,0.0,0.0,1485.0,2392.8,2411.36,550.8,97.8,6,8,8,0.0,0.0,11.1111,0.0,0,749.5556,0.2576,0.0012,0.0012,0.0
2026-06-01 01:00:00,deepseek-chat,3,2205,1716,489,0.0026,100.0,0.0,0.0,0.0,1669.0,1966.0,1992.4,433.8,83.2,3,3,3,33.3333,0.0,0.0,0.0,114,735.0,0.285,0.0009,0.0009,23.3129
2026-06-01 01:00:00,gpt-4.1-mini,11,5228,3542,1686,0.0125,100.0,0.0,0.0,0.0,1906.0,2433.0,2606.6,596.5,130.5,7,10,9,0.0,0.0,9.0909,9.0909,265,475.2727,0.476,0.0011,0.0011,15.7177
2026-06-01 01:00:00,qwen-plus,7,6038,4680,1358,0.0097,71.4286,28.5714,14.2857,0.0,2075.0,2471.8,2496.76,613.0,197.6,6,7,7,0.0,0.0,0.0,0.0,0,862.5714,0.2902,0.0014,0.0019,0.0
2026-06-01 02:00:00,deepseek-chat,3,1212,679,533,0.0015,66.6667,33.3333,0.0,33.3333,1957.0,2122.6,2137.32,458.1,88.1,3,3,3,0.0,0.0,0.0,0.0,100,404.0,0.785,0.0005,0.0007,18.7617
2026-06-01 02:00:00,gpt-4.1-mini,11,6489,4961,1528,0.0156,100.0,0.0,0.0,0.0,1911.0,2110.5,2121.3,585.0,123.0,4,7,9,0.0,9.0909,18.1818,0.0,227,589.9091,0.308,0.0014,0.0014,14.856
2026-06-01 02:00:00,qwen-plus,6,2855,2158,697,0.0046,100.0,0.0,0.0,0.0,1749.5,1918.25,1944.45,461.0,97.75,4,5,5,0.0,0.0,33.3333,0.0,0,475.8333,0.323,0.0008,0.0008,0.0
2026-06-01 03:00:00,deepseek-chat,4,3254,2527,727,0.0039,100.0,0.0,0.0,0.0,1953.0,2402.35,2434.87,464.1,136.4,4,4,4,0.0,25.0,0.0,0.0,130,813.5,0.2877,0.001,0.001,17.8817
2026-06-01 03:00:00,gpt-4.1-mini,7,6014,4434,1580,0.0144,100.0,0.0,0.0,0.0,1760.0,3095.4,3362.28,566.5,181.6,5,6,7,0.0,0.0,28.5714,0.0,207,859.1429,0.3563,0.0021,0.0021,13.1013
2026-06-01 03:00:00,qwen-plus,3,1906,1141,765,0.003,100.0,0.0,0.0,0.0,2135.0,2279.9,2292.78,369.6,94.6,3,3,3,0.0,0.0,0.0,0.0,0,635.3333,0.6705,0.001,0.001,0.0
2026-06-01 04:00:00,deepseek-chat,5,2721,2033,688,0.0033,80.0,20.0,0.0,20.0,1600.0,2066.8,2123.76,547.6,91.8,5,5,5,0.0,20.0,20.0,0.0,88,544.2,0.3384,0.0007,0.0008,12.7907
2026-06-01 04:00:00,gpt-4.1-mini,10,6909,5111,1798,0.0166,90.0,10.0,10.0,0.0,2182.0,2643.2,2687.84,624.5,221.65,7,10,8,0.0,10.0,30.0,0.0,205,690.9,0.3518,0.0017,0.0018,11.4016
2026-06-01 04:00:00,qwen-plus,6,3402,2216,1186,0.0054,83.3333,16.6667,0.0,0.0,1810.5,2142.25,2162.05,583.25,150.25,5,5,6,0.0,33.3333,0.0,16.6667,0,567.0,0.5352,0.0009,0.0011,0.0
