hour,provider,request_count,total_tokens,input_tokens,output_tokens,estimated_cost,success_rate,error_rate,rate_limit_rate,server_error_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,p95_first_token_latency_ms,queue_p95_ms,active_customers,active_keys,distinct_ips,safety_hit_rate,retry_rate,cache_hit_rate,fallback_rate,reasoning_tokens,tokens_per_request,output_input_ratio,cost_per_request,cost_per_success,reasoning_token_share
2026-04-23 00:00:00,DeepSeek,26,18249,12934,5315,0.0219,100.0,0.0,0.0,0.0,6455.5,7656.25,7721.0,6705.0,138.0,10,16,21,0.0,0.0,19.2308,0.0,882,701.8846,0.4109,0.0008,0.0008,16.5945
2026-04-23 01:00:00,DeepSeek,24,13624,8715,4909,0.0163,95.8333,4.1667,0.0,0.0,6571.5,10113.75,10544.57,9491.45,128.85,10,17,15,0.0,8.3333,20.8333,0.0,887,567.6667,0.5633,0.0007,0.0007,18.0689
2026-04-23 02:00:00,DeepSeek,21,15035,10081,4954,0.018,100.0,0.0,0.0,0.0,7052.0,10530.0,11542.0,9684.0,157.0,9,18,15,4.7619,0.0,23.8095,0.0,678,715.9524,0.4914,0.0009,0.0009,13.6859
2026-04-23 02:00:00,MiniMax,1,537,358,179,0.0013,100.0,0.0,0.0,0.0,1595.0,1595.0,1595.0,568.0,36.0,1,1,1,0.0,0.0,0.0,0.0,23,537.0,0.5,0.0013,0.0013,12.8492
2026-04-23 03:00:00,DeepSeek,18,13778,10155,3623,0.0165,100.0,0.0,0.0,0.0,6651.0,7910.1,8436.42,7272.05,155.55,9,12,15,0.0,5.5556,11.1111,0.0,764,765.4444,0.3568,0.0009,0.0009,21.0875
2026-04-23 03:00:00,MiniMax,1,769,618,151,0.0018,100.0,0.0,0.0,0.0,1346.0,1346.0,1346.0,665.0,95.0,1,1,1,0.0,0.0,0.0,0.0,39,769.0,0.2443,0.0018,0.0018,25.8278
2026-04-23 03:00:00,Qwen,1,286,180,106,0.0005,100.0,0.0,0.0,0.0,919.0,919.0,919.0,564.0,47.0,1,1,1,0.0,0.0,100.0,0.0,0,286.0,0.5889,0.0005,0.0005,0.0
2026-04-23 04:00:00,DeepSeek,20,11856,7858,3998,0.0142,95.0,5.0,0.0,0.0,6743.5,10727.7,10875.14,9953.05,151.25,10,15,12,0.0,0.0,20.0,0.0,733,592.8,0.5088,0.0007,0.0007,18.3342
2026-04-23 05:00:00,DeepSeek,30,20684,14267,6417,0.0248,100.0,0.0,0.0,0.0,6628.0,8529.0,9418.47,8142.8,171.9,9,18,16,0.0,0.0,13.3333,0.0,994,689.4667,0.4498,0.0008,0.0008,15.4901
2026-04-23 06:00:00,DeepSeek,71,52171,39053,13118,0.0626,94.3662,5.6338,2.8169,2.8169,6673.0,9861.0,10360.4,8870.5,161.5,10,22,31,1.4085,2.8169,16.9014,0.0,2040,734.8028,0.3359,0.0009,0.0009,15.5512
