fusion_alert_id,strategy_id,strategy_name_cn,layer,detected_at,entity_type,entity_value,signal_type,source_detectors,detector_votes,base_severity,alert_level,breach_ratio,severity_score,config_version,evidence,threshold_evidence,description,recommended_action,alert_state
FUSION-HP-COMP-CRULE-001-0001,FUSION-HP,高精度策略,L1_COMPOSITE,2026-05-04 03:15:00,api_key,key_c007_2,composite_rule,CompositeRules,0,critical,critical,1.875,1.325,0.3.0,"{""request_count"": 12.0, ""distinct_ip_count"": 8.0, ""new_ip_ratio"": 150.0, ""off_hours"": 1.0}","{""request_count"": 8.0, ""distinct_ip_count"": 8.0, ""new_ip_ratio"": 80.0, ""off_hours"": 1.0}",非工作时间内单Key从多个新IP高频调用,核验Key归属与来源IP，必要时立即限流、轮换或冻结Key,open
FUSION-HP-COMP-CRULE-002-0002,FUSION-HP,高精度策略,L1_COMPOSITE,2026-05-13 12:00:00,model_id,Minimax-M2.5,composite_rule,CompositeRules,0,critical,critical,2.0,1.4,0.3.0,"{""p95_latency_ms"": 4628.4, ""queue_p95_ms"": 294.8, ""error_rate"": 20.0}","{""p95_latency_ms"": 3809.7, ""queue_p95_ms"": 226.45, ""error_rate"": 10.0}",模型时延、排队和错误率同时恶化,检查模型容量、队列、路由与供应商状态，必要时切换模型,open
FUSION-HP-COMP-CRULE-002-0001,FUSION-HP,高精度策略,L1_COMPOSITE,2026-05-19 16:00:00,model_id,DeepSeek-V4,composite_rule,CompositeRules,0,critical,critical,2.6728,2.0728,0.3.0,"{""p95_latency_ms"": 30396.8, ""queue_p95_ms"": 908.1, ""error_rate"": 21.2121}","{""p95_latency_ms"": 15648.25, ""queue_p95_ms"": 339.75, ""error_rate"": 10.0}",模型时延、排队和错误率同时恶化,检查模型容量、队列、路由与供应商状态，必要时切换模型,open
FUSION-HP-COMP-CRULE-002-0003,FUSION-HP,高精度策略,L1_COMPOSITE,2026-06-03 10:00:00,model_id,Qwen3.6-35B-A3B,composite_rule,CompositeRules,0,critical,critical,5.0,4.4,0.3.0,"{""p95_latency_ms"": 4499.1, ""queue_p95_ms"": 168.7, ""error_rate"": 50.0}","{""p95_latency_ms"": 3433.0, ""queue_p95_ms"": 146.05, ""error_rate"": 10.0}",模型时延、排队和错误率同时恶化,检查模型容量、队列、路由与供应商状态，必要时切换模型,open
FUSION-HP-ALG-0001,FUSION-HP,高精度策略,L2_CONTEXTUAL_FUSION,2026-06-16 14:00:00,customer_id,C003,token_context,RollingMAD;STLResidual;IsolationForest,3,warning,critical,2.5649,1.8149,0.3.0,"{""request_count"": 19.0, ""server_error_rate"": 0.0, ""tokens_per_request"": 7897.8947, ""token_baseline"": 615.8333, ""score_mad"": 61.4207, ""score_stl"": 109.2445, ""score_isolation_forest"": 0.0519}","{""minimum_votes"": 3, ""minimum_requests"": 8, ""server_error_threshold"": 50.0, ""token_baseline_multiplier"": 5.0}",客户单次Token显著偏离历史基线且多检测器一致,检查提示词、批处理任务、上下文长度和预算保护,open
FUSION-HP-ALG-0002,FUSION-HP,高精度策略,L2_CONTEXTUAL_FUSION,2026-06-30 09:00:00,customer_id,C002,server_error_context,RollingMAD;STLResidual;IsolationForest,3,critical,warning,1.2727,0.6727,0.3.0,"{""request_count"": 22.0, ""server_error_rate"": 63.6364, ""tokens_per_request"": 638.5909, ""token_baseline"": 594.4891, ""score_mad"": 13.3295, ""score_stl"": 3505.4277, ""score_isolation_forest"": 0.0422}","{""minimum_votes"": 3, ""minimum_requests"": 8, ""server_error_threshold"": 50.0, ""token_baseline_multiplier"": 5.0}",客户5xx错误率异常且多检测器一致,立即检查客户、供应商、路由和错误码，必要时降级或隔离,open
FUSION-BAL-COMP-CRULE-001-0001,FUSION-BAL,均衡策略,L1_COMPOSITE,2026-05-04 03:15:00,api_key,key_c007_2,composite_rule,CompositeRules,0,critical,critical,1.875,1.325,0.3.0,"{""request_count"": 12.0, ""distinct_ip_count"": 8.0, ""new_ip_ratio"": 150.0, ""off_hours"": 1.0}","{""request_count"": 8.0, ""distinct_ip_count"": 8.0, ""new_ip_ratio"": 80.0, ""off_hours"": 1.0}",非工作时间内单Key从多个新IP高频调用,核验Key归属与来源IP，必要时立即限流、轮换或冻结Key,open
FUSION-BAL-COMP-CRULE-002-0002,FUSION-BAL,均衡策略,L1_COMPOSITE,2026-05-13 12:00:00,model_id,Minimax-M2.5,composite_rule,CompositeRules,0,critical,critical,2.0,1.4,0.3.0,"{""p95_latency_ms"": 4628.4, ""queue_p95_ms"": 294.8, ""error_rate"": 20.0}","{""p95_latency_ms"": 3809.7, ""queue_p95_ms"": 226.45, ""error_rate"": 10.0}",模型时延、排队和错误率同时恶化,检查模型容量、队列、路由与供应商状态，必要时切换模型,open
FUSION-BAL-COMP-CRULE-002-0001,FUSION-BAL,均衡策略,L1_COMPOSITE,2026-05-19 16:00:00,model_id,DeepSeek-V4,composite_rule,CompositeRules,0,critical,critical,2.6728,2.0728,0.3.0,"{""p95_latency_ms"": 30396.8, ""queue_p95_ms"": 908.1, ""error_rate"": 21.2121}","{""p95_latency_ms"": 15648.25, ""queue_p95_ms"": 339.75, ""error_rate"": 10.0}",模型时延、排队和错误率同时恶化,检查模型容量、队列、路由与供应商状态，必要时切换模型,open
FUSION-BAL-COMP-CRULE-002-0003,FUSION-BAL,均衡策略,L1_COMPOSITE,2026-06-03 10:00:00,model_id,Qwen3.6-35B-A3B,composite_rule,CompositeRules,0,critical,critical,5.0,4.4,0.3.0,"{""p95_latency_ms"": 4499.1, ""queue_p95_ms"": 168.7, ""error_rate"": 50.0}","{""p95_latency_ms"": 3433.0, ""queue_p95_ms"": 146.05, ""error_rate"": 10.0}",模型时延、排队和错误率同时恶化,检查模型容量、队列、路由与供应商状态，必要时切换模型,open
