hour,probe_id,probe_name_cn,provider,model_id,region,run_count,success_rate,failure_count,p95_latency_ms,p95_ttft_ms,estimated_cost
2026-06-01 00:00:00,PROBE-001,OpenAI基础可用性,OpenAI,gpt-4.1-mini,cn-east,4,100.0,0,1129.15,430.05,0.0001
2026-06-01 00:00:00,PROBE-002,通义基础可用性,Alibaba Cloud,qwen-plus,cn-east,4,100.0,0,1056.5,353.75,0.0001
2026-06-01 00:00:00,PROBE-003,DeepSeek基础可用性,DeepSeek,deepseek-chat,cn-east,4,100.0,0,862.5,314.05,0.0
2026-06-01 00:00:00,PROBE-004,OpenAI JSON能力,OpenAI,gpt-4.1-mini,cn-north,2,100.0,0,1527.4,561.35,0.0001
2026-06-01 00:00:00,PROBE-005,通义流式首Token,Alibaba Cloud,qwen-plus,cn-south,4,100.0,0,1422.15,538.45,0.0001
2026-06-01 00:00:00,PROBE-006,DeepSeek工具调用,DeepSeek,deepseek-chat,cn-north,2,100.0,0,1303.35,483.15,0.0
2026-06-01 01:00:00,PROBE-001,OpenAI基础可用性,OpenAI,gpt-4.1-mini,cn-east,4,100.0,0,1188.6,436.7,0.0001
2026-06-01 01:00:00,PROBE-002,通义基础可用性,Alibaba Cloud,qwen-plus,cn-east,4,100.0,0,938.05,346.45,0.0001
2026-06-01 01:00:00,PROBE-003,DeepSeek基础可用性,DeepSeek,deepseek-chat,cn-east,4,100.0,0,837.65,329.55,0.0
2026-06-01 01:00:00,PROBE-004,OpenAI JSON能力,OpenAI,gpt-4.1-mini,cn-north,2,100.0,0,1549.5,515.85,0.0001
2026-06-01 01:00:00,PROBE-005,通义流式首Token,Alibaba Cloud,qwen-plus,cn-south,4,100.0,0,1294.0,510.15,0.0001
2026-06-01 01:00:00,PROBE-006,DeepSeek工具调用,DeepSeek,deepseek-chat,cn-north,2,100.0,0,1589.85,629.55,0.0
2026-06-01 02:00:00,PROBE-001,OpenAI基础可用性,OpenAI,gpt-4.1-mini,cn-east,4,100.0,0,1207.45,418.95,0.0001
2026-06-01 02:00:00,PROBE-002,通义基础可用性,Alibaba Cloud,qwen-plus,cn-east,4,75.0,1,1138.7,355.25,0.0001
2026-06-01 02:00:00,PROBE-003,DeepSeek基础可用性,DeepSeek,deepseek-chat,cn-east,4,100.0,0,851.95,317.1,0.0
2026-06-01 02:00:00,PROBE-004,OpenAI JSON能力,OpenAI,gpt-4.1-mini,cn-north,2,100.0,0,1536.15,472.8,0.0001
2026-06-01 02:00:00,PROBE-005,通义流式首Token,Alibaba Cloud,qwen-plus,cn-south,4,100.0,0,1328.45,483.0,0.0001
2026-06-01 02:00:00,PROBE-006,DeepSeek工具调用,DeepSeek,deepseek-chat,cn-north,2,100.0,0,1421.8,387.55,0.0
2026-06-01 03:00:00,PROBE-001,OpenAI基础可用性,OpenAI,gpt-4.1-mini,cn-east,4,100.0,0,1096.55,433.55,0.0001
2026-06-01 03:00:00,PROBE-002,通义基础可用性,Alibaba Cloud,qwen-plus,cn-east,4,100.0,0,1094.8,326.3,0.0001
2026-06-01 03:00:00,PROBE-003,DeepSeek基础可用性,DeepSeek,deepseek-chat,cn-east,4,100.0,0,926.7,309.9,0.0
2026-06-01 03:00:00,PROBE-004,OpenAI JSON能力,OpenAI,gpt-4.1-mini,cn-north,2,100.0,0,1704.0,509.4,0.0001
2026-06-01 03:00:00,PROBE-005,通义流式首Token,Alibaba Cloud,qwen-plus,cn-south,4,100.0,0,1243.1,448.25,0.0001
2026-06-01 03:00:00,PROBE-006,DeepSeek工具调用,DeepSeek,deepseek-chat,cn-north,2,100.0,0,1551.85,576.75,0.0
2026-06-01 04:00:00,PROBE-001,OpenAI基础可用性,OpenAI,gpt-4.1-mini,cn-east,4,100.0,0,1164.45,369.55,0.0001
2026-06-01 04:00:00,PROBE-002,通义基础可用性,Alibaba Cloud,qwen-plus,cn-east,4,100.0,0,1007.95,332.35,0.0001
2026-06-01 04:00:00,PROBE-003,DeepSeek基础可用性,DeepSeek,deepseek-chat,cn-east,4,100.0,0,868.95,320.8,0.0
2026-06-01 04:00:00,PROBE-004,OpenAI JSON能力,OpenAI,gpt-4.1-mini,cn-north,2,100.0,0,1568.8,497.25,0.0001
2026-06-01 04:00:00,PROBE-005,通义流式首Token,Alibaba Cloud,qwen-plus,cn-south,4,100.0,0,1326.25,505.9,0.0001
2026-06-01 04:00:00,PROBE-006,DeepSeek工具调用,DeepSeek,deepseek-chat,cn-north,2,100.0,0,1551.55,539.6,0.0
2026-06-01 05:00:00,PROBE-001,OpenAI基础可用性,OpenAI,gpt-4.1-mini,cn-east,4,100.0,0,1201.85,405.35,0.0001
2026-06-01 05:00:00,PROBE-002,通义基础可用性,Alibaba Cloud,qwen-plus,cn-east,4,100.0,0,922.05,348.9,0.0001
2026-06-01 05:00:00,PROBE-003,DeepSeek基础可用性,DeepSeek,deepseek-chat,cn-east,4,100.0,0,986.45,344.0,0.0
2026-06-01 05:00:00,PROBE-004,OpenAI JSON能力,OpenAI,gpt-4.1-mini,cn-north,2,100.0,0,1544.2,626.65,0.0001
2026-06-01 05:00:00,PROBE-005,通义流式首Token,Alibaba Cloud,qwen-plus,cn-south,4,100.0,0,1340.7,483.4,0.0001
2026-06-01 05:00:00,PROBE-006,DeepSeek工具调用,DeepSeek,deepseek-chat,cn-north,2,100.0,0,1439.45,536.6,0.0
2026-06-01 06:00:00,PROBE-001,OpenAI基础可用性,OpenAI,gpt-4.1-mini,cn-east,4,100.0,0,1114.45,364.95,0.0001
2026-06-01 06:00:00,PROBE-002,通义基础可用性,Alibaba Cloud,qwen-plus,cn-east,4,100.0,0,1009.95,370.45,0.0001
2026-06-01 06:00:00,PROBE-003,DeepSeek基础可用性,DeepSeek,deepseek-chat,cn-east,4,100.0,0,862.4,251.55,0.0
2026-06-01 06:00:00,PROBE-004,OpenAI JSON能力,OpenAI,gpt-4.1-mini,cn-north,2,100.0,0,1533.25,453.35,0.0001
2026-06-01 06:00:00,PROBE-005,通义流式首Token,Alibaba Cloud,qwen-plus,cn-south,4,100.0,0,1329.2,473.8,0.0001
2026-06-01 06:00:00,PROBE-006,DeepSeek工具调用,DeepSeek,deepseek-chat,cn-north,2,100.0,0,1495.85,594.4,0.0
2026-06-01 07:00:00,PROBE-001,OpenAI基础可用性,OpenAI,gpt-4.1-mini,cn-east,4,100.0,0,1140.2,431.9,0.0001
2026-06-01 07:00:00,PROBE-002,通义基础可用性,Alibaba Cloud,qwen-plus,cn-east,4,100.0,0,999.05,356.4,0.0
2026-06-01 07:00:00,PROBE-003,DeepSeek基础可用性,DeepSeek,deepseek-chat,cn-east,4,100.0,0,848.45,257.1,0.0
2026-06-01 07:00:00,PROBE-004,OpenAI JSON能力,OpenAI,gpt-4.1-mini,cn-north,2,100.0,0,1583.6,639.15,0.0001
2026-06-01 07:00:00,PROBE-005,通义流式首Token,Alibaba Cloud,qwen-plus,cn-south,4,100.0,0,1453.8,439.15,0.0001
2026-06-01 07:00:00,PROBE-006,DeepSeek工具调用,DeepSeek,deepseek-chat,cn-north,2,100.0,0,1486.65,566.75,0.0
2026-06-01 08:00:00,PROBE-001,OpenAI基础可用性,OpenAI,gpt-4.1-mini,cn-east,4,100.0,0,1180.05,414.55,0.0001
2026-06-01 08:00:00,PROBE-002,通义基础可用性,Alibaba Cloud,qwen-plus,cn-east,4,100.0,0,1092.5,420.9,0.0001
2026-06-01 08:00:00,PROBE-003,DeepSeek基础可用性,DeepSeek,deepseek-chat,cn-east,4,100.0,0,961.25,369.0,0.0
2026-06-01 08:00:00,PROBE-004,OpenAI JSON能力,OpenAI,gpt-4.1-mini,cn-north,2,100.0,0,1483.15,537.35,0.0001
2026-06-01 08:00:00,PROBE-005,通义流式首Token,Alibaba Cloud,qwen-plus,cn-south,4,100.0,0,1264.75,478.5,0.0001
2026-06-01 08:00:00,PROBE-006,DeepSeek工具调用,DeepSeek,deepseek-chat,cn-north,2,100.0,0,1579.6,523.55,0.0
2026-06-01 09:00:00,PROBE-001,OpenAI基础可用性,OpenAI,gpt-4.1-mini,cn-east,4,100.0,0,1085.45,325.65,0.0001
