date,model_id,instance_count,running_mean,running_max_busy,waiting_max_busy,concurrency_ratio,ttft_mean_ms,ttft_p95_ms,tokens_per_second_mean,cache_pct,npu_busy_pct,npu_mean,npu_p95,npu_max,npu_peak_average_mean,high_npu_samples,hbm_pct,hbm_headroom_pct,baseline_ready,capacity_state,diagnosis,data_origin,observed_days
2026-04-23,DeepSeek-V4,6,1.0333,6,2,1.0,7155.1513,14481.1141,12.5953,3.813,28.8331,5.1743,100.0,100.0,27.0792,100,97.2081,2.7919,True,容量风险,出现等待队列，需评估扩容或分流；忙时并发接近实例数量；存在 NPU 高负载尖峰；平均 NPU 较低但 HBM 很高，更像模型驻留内存压力,synthetic_history_calibrated,90
2026-04-23,Minimax-M2.5,2,0.0361,2,3,1.0,695.8395,955.9278,1.3556,46.7558,36.8568,2.7626,74.6621,100.0,39.1903,58,89.7673,10.2327,True,容量风险,出现等待队列，需评估扩容或分流；忙时并发接近实例数量；存在 NPU 高负载尖峰,synthetic_history_calibrated,90
2026-04-23,Qwen3.6-35B-A3B,2,0.0167,2,2,1.0,653.65,1357.4334,0.519,7.2223,2.6313,1.1296,4.722,25.217,1.2136,0,93.6114,6.3886,True,容量风险,出现等待队列，需评估扩容或分流；忙时并发接近实例数量；平均 NPU 较低但 HBM 很高，更像模型驻留内存压力,synthetic_history_calibrated,90
2026-04-24,DeepSeek-V4,6,0.6667,4,0,0.6667,4701.8228,9419.9135,12.7709,0.9719,17.2609,3.4353,91.629,93.4308,18.8355,31,95.5412,4.4588,True,容量风险,存在 NPU 高负载尖峰；平均 NPU 较低但 HBM 很高，更像模型驻留内存压力,synthetic_history_calibrated,90
2026-04-24,Minimax-M2.5,2,0.0306,2,0,1.0,441.6828,601.1021,1.3634,43.9048,31.5419,1.754,57.0234,100.0,25.6802,3,89.7014,10.2986,True,需要关注,忙时并发接近实例数量,synthetic_history_calibrated,90
2026-04-24,Qwen3.6-35B-A3B,2,0.0153,1,0,0.5,462.9892,1022.0448,0.5102,9.8858,0.1295,0.8697,6.1448,20.2962,0.2149,0,92.57,7.43,True,需要关注,平均 NPU 较低但 HBM 很高，更像模型驻留内存压力,synthetic_history_calibrated,90
2026-04-25,DeepSeek-V4,6,0.4597,3,0,0.5,4435.1944,8920.4675,12.6348,0.0,10.5446,2.9399,71.6113,74.5177,9.9801,11,94.1265,5.8735,True,需要关注,存在 NPU 高负载尖峰；平均 NPU 较低但 HBM 很高，更像模型驻留内存压力,synthetic_history_calibrated,90
2026-04-25,Minimax-M2.5,2,0.0306,2,0,1.0,438.9531,625.0611,1.3493,49.7999,20.7355,1.8173,42.7663,76.0599,22.9127,3,90.988,9.012,True,需要关注,忙时并发接近实例数量；平均 NPU 较低但 HBM 很高，更像模型驻留内存压力,synthetic_history_calibrated,90
2026-04-25,Qwen3.6-35B-A3B,2,0.0153,1,0,0.5,457.8366,906.2744,0.51,9.4047,1.7015,1.4234,5.4237,16.586,2.7159,0,91.216,8.784,True,需要关注,平均 NPU 较低但 HBM 很高，更像模型驻留内存压力,synthetic_history_calibrated,90
2026-04-26,DeepSeek-V4,6,0.5986,3,0,0.5,4513.8179,9442.2173,12.6201,0.0,12.7964,3.1809,80.8952,84.4893,13.4114,31,97.4342,2.5658,True,容量风险,存在 NPU 高负载尖峰；平均 NPU 较低但 HBM 很高，更像模型驻留内存压力,synthetic_history_calibrated,90
